Source File,CSV Name,Matched DB Name,Similarity Score
formatted_universities5.csv,University of Bolton,University of Bologna,92.6829268292683
formatted_universities5.csv,University of Brighton,University of Bern,85.0
formatted_universities5.csv,University of Chester,University of Bern,82.05128205128204
formatted_universities5.csv,University of Chichester,The University of Chicago,81.63265306122449
formatted_universities5.csv,University of Cumbria,Columbia University,85.0
formatted_universities5.csv,University of Derby,University of Bern,86.48648648648648
formatted_universities5.csv,University of Essex,University of Basel,84.21052631578947
formatted_universities5.csv,University of Hull,University of Basel,81.08108108108108
formatted_universities5.csv,University of Kent,University of Bern,88.88888888888889
formatted_universities5.csv,University of Leeds,University of Bern,81.08108108108108
formatted_universities5.csv,University of Lincoln,University of Bonn,82.05128205128204
formatted_universities5.csv,University of Plymouth,University of Bayreuth,81.81818181818181
formatted_universities5.csv,University of Reading,University of Bern,82.05128205128204
formatted_universities5.csv,University of Salford,Stanford University,85.0
formatted_universities5.csv,University of Suffolk,Suffolk University Usa,88.37209302325581
formatted_universities5.csv,University of Sunderland,University of Bern,80.95238095238095
formatted_universities5.csv,University of Sussex,University of Basel,82.05128205128204
formatted_universities3.csv,Maryville University,Marshall University,82.05128205128204
formatted_universities3.csv,University of South Dakota,South Dakota State University,83.63636363636364
formatted_universities3.csv,Staffordshire University,Stanford University,83.72093023255813
formatted_universities3.csv,University of Plymouth,University of Bayreuth,81.81818181818181
formatted_universities3.csv,Charles Sturt University,Charles Sturt University,100.0
formatted_universities3.csv,Massey University,Monash University,82.35294117647058
formatted_universities3.csv,Lincoln University,Linkoping University,84.21052631578947
formatted_universities3.csv,University of Windsor,University of Wyoming,80.95238095238095
formatted_universities3.csv,FOM University,OCAD University,82.75862068965517
formatted_universities3.csv,Aivancity Institute of Technology,Illinois Institute of Technology,83.07692307692307
formatted_universities2.csv,University Name,Pace University,86.66666666666667
formatted_universities2.csv,"Missouri University of Science and Technology, Rolla, Missouri",Missouri University of Science and Technology,84.11214953271028
formatted_universities2.csv,"California State University, Northridge, California",California State University Northridge,85.39325842696628
formatted_universities2.csv,"California State University, Fresno, California",California State University Fresno,83.9506172839506
formatted_universities2.csv,"California State University, East Bay, California",California State University East Bay,84.70588235294117
formatted_universities2.csv,"California State University, Dominguez Hills, California",California State University Dominguez Hills,86.86868686868688
formatted_universities2.csv,"Texas A & M University, Corpus Christi, Texas",Texas A & M University Corpus Christi,90.2439024390244
formatted_universities2.csv,"Southern Illinois University, Edwardsville, Illinois",Southern Illinois University Edwardsville,88.17204301075269
formatted_universities2.csv,"Atlantis University, Miami, Florida",Florida Atlantic University,83.87096774193549
formatted_universities2.csv,"University of Antwerp, Antwerp",University of Antwerp,82.35294117647058
formatted_universities2.csv,"LAB University of Applied Sciences, Lahti",IU University of Applied Sciences,83.78378378378379
