CSV Name,Matched DB Name,Similarity Score
FHM University,RMIT University,82.75862068965517
ISTEC Business School,IE Business School,92.3076923076923
University of Nicosia,University of Arizona,80.95238095238095
University of Cyprus,University of Bayreuth,80.95238095238095
BSB Burgundy School of Business,Burgundy School of Business,93.10344827586206
California State University,California State University Fresno,88.52459016393442
University of Tartu,University of Bayreuth,82.92682926829268
Estonian Business School,EU Business School,80.95238095238095
Rabat Business School,EU Business School,82.05128205128204
Moldova State University,Colorado State University,85.71428571428572
BINUS University International,Alliant International University,80.64516129032258
ISM (International School of Management),ISM - International School of Management,85.0
University of Latvia,University of Manitoba,80.95238095238095
Riga Technical University,Riga Technical University,100.0
RISEBA University of Applied Sciences,IU University of Applied Sciences,91.42857142857144
University of Warsaw,University of Wroclaw,87.8048780487805
Gdansk University of Technology,University of Technology Sydney,87.09677419354838
University of Gdansk,University of Basel,82.05128205128204
University of Wroclaw,University of Wroclaw,100.0
Wroclaw University of Science and Technology,Missouri University of Science and Technology,80.89887640449437
Poznan University of Technology,Queensland University of Technology,84.84848484848484
University of Lodz,University of Bonn,83.33333333333334
Lodz University of Technology,University of Technology Sydney,86.66666666666667
Bialystok University of Technology,Delft University of Technology,84.375
Lazarski University,Lamar University,85.71428571428572
Lublin University of Technology,Delft University of Technology,85.24590163934427
Royal Roads University,Royal Roads University,100.0
Kaunas University of Technology,Queensland University of Technology,84.84848484848484
MCAST University,OCAD University,83.87096774193549
MCAST University,OCAD University,83.87096774193549
Royal Roads University (RAK),Royal Roads University,88.0
ISM – International School of Management,ISM - International School of Management,95.0
IU International University of Applied Sciences,IU University of Applied Sciences,82.5
University of Nicosia,University of Arizona,80.95238095238095
American College,Cambrian College,81.25
Larnaca College,Langara College,86.66666666666667
Frederick University,Federation University,82.92682926829268
European University Cyprus,Central European University,83.01886792452831
ISTEC Business School,IE Business School,92.3076923076923
BSB – Burgundy School of Business,Burgundy School of Business,90.0
ICD Business School,IE Business School,91.89189189189187
University of Tartu,University of Bayreuth,82.92682926829268
University of Latvia,University of Manitoba,80.95238095238095
Turiba University,Trier University,84.84848484848484
Riga Technical University,Riga Technical University,100.0
RISEBA University of Applied Sciences,IU University of Applied Sciences,91.42857142857144
ISMA University of Applied Sciences,IU University of Applied Sciences,94.11764705882352
Kaunas University of Technology,Queensland University of Technology,84.84848484848484
University of Warsaw,University of Wroclaw,87.8048780487805
Gdansk University of Technology,University of Technology Sydney,87.09677419354838
University of Gdansk,University of Basel,82.05128205128204
University of Wroclaw,University of Wroclaw,100.0
Wroclaw University of Science & Technology,Missouri University of Science and Technology,80.45977011494253
Poznan University of Technology,Queensland University of Technology,84.84848484848484
University of Lodz,University of Bonn,83.33333333333334
Lodz University of Technology,University of Technology Sydney,86.66666666666667
Bialystok University of Technology,Delft University of Technology,84.375
Lazarski University,Lamar University,85.71428571428572
Lublin University of Technology,Delft University of Technology,85.24590163934427
BINUS University International,Alliant International University,80.64516129032258
University College London,University College Cork,83.33333333333334
University of Birmingham,University of Alabama at Birmingham,81.35593220338984
University of Bristol,University of Basel,85.0
Cardiff University,Clark University,82.35294117647058
Durham University,Fordham University,85.71428571428572
University of Edinburgh,University of Freiburg,84.44444444444444
University of Exeter,University of Bern,84.21052631578947
University of Leeds,University of Bern,81.08108108108108
University of Nottingham,University of Goettingen,83.33333333333334
University of Warwick,University of Zurich,82.92682926829268
University of York,New York University,81.08108108108108
Abertay University,Adler University,82.35294117647058
