CSV Name,Matched DB Name,Similarity Score
Aston University,Bond University,83.87096774193549
Bangor University,Baylor University,88.23529411764706
Bath Spa University,Bauhaus University,81.08108108108108
Birmingham City University,Binghamton University,80.85106382978724
Brunel University London,Brandon University,80.95238095238095
Coventry University,Bentley University,81.08108108108108
Edge Hill University,Mcgill University,81.08108108108108
Hartpury University,Harvard University,81.08108108108108
Heriot-Watt University,Heriot-Watt University (Dubai),84.61538461538461
Keele University,Drexel University,84.84848484848484
Kingston University,Binghamton University,85.0
Middlesex University,Middlesex University (Dubai),83.33333333333334
Northumbria University,Columbia University,82.92682926829268
Robert Gordon University,Robert Morris University,83.33333333333334
Solent University,Ghent University,84.84848484848484
Staffordshire University,Stanford University,83.72093023255813
Swansea University,Rowan University,82.35294117647058
Teesside University,Leiden University,83.33333333333334
Ulster University,Adler University,84.84848484848484
University of Aberdeen,University of Bern,85.0
University of Bath,University of Bayreuth,90.0
University of Bolton,University of Bologna,92.6829268292683
University of Brighton,University of Bern,85.0
University of Chester,University of Bern,82.05128205128204
University of Chichester,The University of Chicago,81.63265306122449
University of Cumbria,Columbia University,85.0
University of Derby,University of Bern,86.48648648648648
University of Essex,University of Basel,84.21052631578947
University of Hull,University of Basel,81.08108108108108
University of Kent,University of Bern,88.88888888888889
University of Leeds,University of Bern,81.08108108108108
University of Lincoln,University of Bonn,82.05128205128204
University of Plymouth,University of Bayreuth,81.81818181818181
University of Reading,University of Bern,82.05128205128204
University of Salford,Stanford University,85.0
University of Suffolk,Suffolk University Usa,88.37209302325581
University of Sunderland,University of Bern,80.95238095238095
University of Sussex,University of Basel,82.05128205128204
Maryville University,Marshall University,82.05128205128204
University of South Dakota,South Dakota State University,83.63636363636364
Staffordshire University,Stanford University,83.72093023255813
University of Plymouth,University of Bayreuth,81.81818181818181
Charles Sturt University,Charles Sturt University,100.0
Massey University,Monash University,82.35294117647058
Lincoln University,Linkoping University,84.21052631578947
University of Windsor,University of Wyoming,80.95238095238095
FOM University,OCAD University,82.75862068965517
Aivancity Institute of Technology,Illinois Institute of Technology,83.07692307692307
University Name,Pace University,86.66666666666667
"Missouri University of Science and Technology, Rolla, Missouri",Missouri University of Science and Technology,84.11214953271028
"California State University, Northridge, California",California State University Northridge,85.39325842696628
"California State University, Fresno, California",California State University Fresno,83.9506172839506
"California State University, East Bay, California",California State University East Bay,84.70588235294117
"California State University, Dominguez Hills, California",California State University Dominguez Hills,86.86868686868688
"Texas A & M University, Corpus Christi, Texas",Texas A & M University Corpus Christi,90.2439024390244
"Southern Illinois University, Edwardsville, Illinois",Southern Illinois University Edwardsville,88.17204301075269
"Atlantis University, Miami, Florida",Florida Atlantic University,83.87096774193549
"University of Antwerp, Antwerp",University of Antwerp,82.35294117647058
"LAB University of Applied Sciences, Lahti",IU University of Applied Sciences,83.78378378378379
"Karelia University of Applied Sciences, Joensuu",Macromedia University of Applied Sciences,81.81818181818181
"Arcada University of Applied Sciences, Helsinki",Frankfurt University of Applied Sciences,80.45977011494253
"NEOMA Business School, Rouen",NEOMA Business School,85.71428571428572
"ESCE International Business School, Paris",CBS International Business School,83.78378378378379
"ESSCA School of Management, Angers",ESSCA School of Management,86.66666666666667
"SKEMA Business School, Paris",SKEMA Business School,85.71428571428572
"Burgundy School of Business, Dijon",Burgundy School of Business,88.52459016393442
"EPITA - School of Engineering and Computer Science, Paris",EPITA - School of Engineering and Computer Science,93.45794392523364
"Berlin School of Business and Innovation, Paris",Berlin School of Business and Innovation (BSBI),85.1063829787234
"Constructor University, Bremen",Constructor University,84.61538461538461
"International School of Management, Dortmund",ISM - International School of Management,83.33333333333334
"CBS International Business School, Cologne",CBS International Business School,88.0
"Arden University, Berlin",Arden University Berlin,97.87234042553192
"New European College, Munich",New European College,83.33333333333334
"EU Business School, Munich",Munich Business School,91.66666666666666
"Munich Business School, Munich",Munich Business School,84.61538461538461
"Berlin School of Business and Innovation, Berlin",Berlin School of Business and Innovation (BSBI),88.42105263157895
"Fresenius University of Applied Sciences, Idstein",Frankfurt University of Applied Sciences,80.89887640449437
"University of Europe for Applied Sciences, Hamburg",Hamburg University of Applied Sciences,86.36363636363636
"Hochschule Macromedia University of Applied Sciences, Munich",Macromedia University of Applied Sciences,81.1881188118812
"EU Business School, Barcelona",Aspire Business School Barcelona,81.9672131147541
"C3S Business School, Barcelona",Aspire Business School Barcelona,80.64516129032258
"Trinity College Dublin, Dublin",Trinity College Dublin,84.61538461538461
"University College Cork, Cork",University College Cork,88.46153846153845
"Dublin City University, Dublin",Dublin City University,84.61538461538461
"National College of Ireland, Dublin",National College of Ireland,87.09677419354838
"Dublin Business School, Dublin",Dublin Business School,84.61538461538461
"IBAT College Dublin, Dublin",IBAT College Dublin,82.6086956521739
"CCT College Dublin, Dublin",CCT College Dublin,81.81818181818181
"University of Wollongong, Dubai Campus",University of Wollongong Dubai,88.23529411764706
"Ajman University, Ajman",Ajman University,82.05128205128204
"Middlesex University, Dubai Campus",Middlesex University (Dubai),83.87096774193549
"Hult International Business School, Dubai Campus",Hult International Business School,82.92682926829268
"S P Jain School of Global Management, Dubai Campus",SP Jain School of Global Management Dubai,87.91208791208791
"Institute of Management Technology (IMT), Dubai",European Institute of Management and Technology (EIMT),85.14851485148515
"University of Wollongong, Malaysia",University of Wollongong Dubai,84.375
